"";"X";"hexid";"meta_1";"meta_2";"meta_3";"meta_4";"meta_5";"meta_6";"meta_pop"
"149";149;149;2633,3494880937;3155,11494754966;3208,90594622533;3243,12160589513;3889,97404253751;4216,91657573671;20347,382606038
"150";150;150;6547,12329287159;8258,68339397321;8575,28200321084;7674,84551137042;7865,13818384595;8150,74996556244;47071,8223508345
"151";151;151;165633,059333379;193665,24486514;197170,633438321;181341,765735538;221816,458301304;232962,030752227;1192589,19242591
"152";152;152;6172,45879574389;6767,76851491617;6634,73539496605;7126,17996113814;7171,29945132074;7214,29475497577;41086,7368730608
"153";153;153;3669,51006198969;3861,31954592071;3807,19375767922;3326,68263573309;3564,62331874303;3466,94530526326;21696,274625329
"154";154;154;18871,9299209231;19728,259338215;17839,4177576081;19787,5311101855;23251,9865190956;20907,6596691065;120386,784315134
"155";155;155;4841,57250636336;4919,14650800906;5248,75907838351;5281,46100758635;5842,3563184608;6089,40681521755;32222,7022340206
"156";156;156;3286,02716569331;3173,32568680154;3104,33631825776;4908,72778311686;4078,60830269598;5318,57980206656;23869,605058632
"157";157;157;193237,839271995;178820,638513994;164038,018275532;167460,666098523;161502,362767854;164506,65569174;1029566,18061964
"158";158;158;44569,2449959995;40701,4734413471;37694,068488763;38813,9776669657;36254,8753489415;39067,8639885002;237101,503930517
"159";159;159;7669,7886232972;6470,98216868414;5690,42277353894;5948,47106929691;6225,18541246782;6328,83259402647;38333,6826413115
"160";160;160;200,192266720531;197,369984026615;238,337686713774;118,487599020912;70,3629912181253;100,076493175524;924,827020875481
"161";161;161;176,710987708367;128,04738905834;197,272101063578;104,074582288037;149,167865760148;171,995289680989;927,268215559459
"162";162;162;203,957351624577;260,701149625536;145,86740667719;192,73241766755;290,475348902672;172,333705680673;1266,0673801782
"163";163;163;834,452875847238;556,061473713198;412,525568373374;422,432524208783;678,223462341116;596,870187973603;3500,56609245731
"164";164;164;2642,60203002603;2200,74916712235;2024,51390548481;2002,6230335295;1574,74693573502;2257,62965719017;12702,8647290879
"165";165;165;351,995671069497;381,867985789068;536,917505678614;324,495332399564;529,932470585618;443,855169902471;2569,06413542483
"166";166;166;2,55867813665043;8,22732226869842;10,0937090961188;42,948022096356;47,9274291455383;3,85036136986449;115,605522113226
"167";167;167;97,0631332360726;154,499817000637;89,6152910931747;166,348619373397;157,000120081025;142,226292751576;806,753273535882
"168";168;168;284,189736522507;372,563794616727;349,324812363485;302,78029475011;388,975866868415;364,923334367229;2062,75783948847
"169";169;169;15600,3304143878;17796,6817422543;19037,352452897;15358,8531085348;24933,296151;20486,5646424422;113213,078511516
"170";170;170;47270,1287915486;55351,6884368957;55867,4666398956;51670,9919899046;59446,997404644;66102,2318244992;335709,505087388
"171";171;171;1238,41513141708;1157,80960706238;1244,31525245649;1334,15077868582;1604,52386978517;1356,61567476043;7935,83031416737
"172";172;172;55499,040353632;58190,237674227;57565,5677377203;54904,6450573731;60669,8422532368;61421,7745673757;348251,107643565
"173";173;173;38639,6110398673;41876,008445571;43672,0573215028;41708,4658989816;44037,806270281;42879,371335697;252813,320311901
"174";174;174;10735,5850655644;12374,9061844655;11871,8136688049;13751,3234664773;11809,5806658524;13277,0524397774;73820,2614909419
"175";175;175;13333,6170419494;14449,2624512847;14415,0564841595;13675,8717002465;14645,6615565833;17525,3725669985;88044,8418012219
"176";176;176;23781,8218278237;21997,6671134841;20996,8104647424;23379,9616419175;19904,6210041909;20457,5173339288;130518,399386087
"177";177;177;131765,800747321;119384,752121224;114774,631078466;117156,840281487;113629,478465631;110122,222789856;706833,725483985
"178";178;178;3386,35508767966;2995,21486495145;2521,70373468714;2211,04661020211;2303,31238458975;2237,94341679744;15655,5760989075
"179";179;179;186,378808472191;130,517161004486;134,62576073402;148,128933549517;103,433209907312;127,425898548673;830,509772216199
"180";180;180;1154,41309333054;1205,56788252623;935,717232955307;1072,76056961553;778,59115029808;625,92024231198;5772,97017103767
"181";181;181;31159,1135127181;27080,472877943;25742,7369931665;26398,488112966;24445,9295462984;27604,40463135;162431,145674442
"182";182;182;455,338900777519;517,375868467352;476,820360757614;494,850382124276;389,478964732472;442,467686628766;2776,332163488
"183";183;183;849,241976410538;887,828718149721;896,864510650724;881,72526725469;651,526127929903;763,099881892091;4930,28648228767
"184";184;184;37,578325400621;40,0792401217699;44,3173109833037;22,387714288246;34,1459992599465;29,0692917328807;207,577881786768
"185";185;185;0,121835086860274;0,243670173720548;0,509492181415691;0,595389443214873;0,384947020456219;0,440326605392707;2,29566051106031
"186";186;186;671,873931769558;624,684421778474;586,52442061278;756,731860686068;860,613784360816;833,583715854338;4334,01213506203
"187";187;187;157,507470001009;227,670246856817;129,164865996513;80,868818424368;375,883335171176;180,961521202087;1152,05625765197
"188";188;188;537,797631782056;593,748579064864;714,123449910452;698,192947846302;725,723598625756;567,798170561954;3837,38437779138
"189";189;189;70373,3762756186;84019,5175304451;85928,796874944;75681,8322140517;89211,858442091;86217,3294080897;491432,71074524
"190";190;190;289,47966297078;388,482369816253;336,805179262324;129,42274358661;165,823701295606;405,064722998932;1715,0783799305
"191";191;191;2082,03409758078;2736,70265558264;2643,41993471189;2991,54224193982;2906,84368014502;2110,41701300143;15470,9596229616
"192";192;192;120769,673203609;123588,35801212;125904,520328685;122746,664320433;122897,387808198;128356,729110545;744263,33278359
